"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"HALLMARK_INTERFERON_ALPHA_RESPONSE",1.40749427598486e-10,5.48922767634096e-09,0.826657301178302,0.501142618223669,2.52337236018472,96,"Plscr1;Ifitm2;Ifitm1;B2m;Slc25a28;H2-Q7;Psme1;Ifitm3;Procr;Ifih1;Parp14;Il7;Sell;Cd47;Parp9;Gbp2;Psma3;C1s1;Wars1;Cd74;Ly6e;Cxcl10;Psmb8;Ifi30;Samd9l;Casp1;Ccrl2;Ifi44;Ifi27;Ncoa7"
"HALLMARK_IL6_JAK_STAT3_SIGNALING",2.1908663000628e-09,4.27218928512247e-08,0.774939030136436,0.491079669645637,2.48417725880799,86,"Cd38;Il1b;Dntt;Il1r2;Il18r1;Grb2;Cxcl2;Il2rg;Cxcl13;Ptpn2;Ifnar1;Hax1;Il7;Ccl7;Tlr2;Stat1;Ltb;Tnfrsf1b;Csf2rb2;Il9r;Cxcl10;Cd44;Cd14;Tnfrsf1a;Cxcl1;Cxcl9;Pim1;Ebi3;Stat3;Ifngr2;Fas;Il15ra;Ptpn1"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY",4.86546393324685e-05,0.00063251031132209,0.557332238758646,0.490067737494058,2.13253952801443,46,"Glrx;Prdx6;Scaf4;Atox1;Gsr;Glrx2;Ndufa6;Srxn1;Sod1;Txnrd1;Ndufb4;Prdx1;Mgst1;Lsp1;Lamtor5;Sbno2;Txn1;Mbp;Hmox2;Gclm;Abcc1;Prdx2"
"HALLMARK_MYOGENESIS",0.000114168558329255,0.00111314344371024,0.538434096309916,-0.412208989551745,-1.52236707287526,199,"Tnnt2;Camk2b;Pcx;Itga7;Kcnh1;Gnao1;Dtna;Schip1;Pfkm;Sspn;Speg;Dmd;Pkia;Pvalb;Tnnt3;Dmpk;Tnnt1;Tpm2;Ckb;Reep1;Myl6b;Ncam1;Sorbs1;Col4a2;Igf1;Vipr1;Tagln;Klf5;Ppp1r3c;Clu;Fhl1;Scd2;Kcnh2;Ache;Mapk12;Ak1;Cd36;Ptp4a3;Bdkrb2;Myh1;Cox7a1;Col6a2;Ephb3;Erbb3;Sh2b1;Cdh13;Gaa;Cryab;Fabp3;Sparc;Fxyd1;Gpx3;Tpd52l1;Pick1;Nos1;Pygm;Mylpf;Ocel1;Igfbp7;Ckmt2;Cav3;Bin1;Kifc3;Eno3;Mef2c;Slc6a8;Mylk;Tgfb1;Gja5;Cacng1;Hbegf;Tnnc1;Actn2;Myl3;Itgb5;Sh3bgr;Tnni2;Spdef;Csrp3;Gabarapl2;Casq1;Tnnc2;Ppfia4;Col15a1;Gadd45b;Fst;Myl1;Tcap;Col6a3;Myom2;Myoz1;Foxo4;Tead4;Fgf2;Ankrd2;Des;Lpin1;Chrna1;Myl2;Agrn;Cacna1h"
"HALLMARK_KRAS_SIGNALING_DN",0.000807856441820285,0.00630128024619822,0.477270815362862,-0.398366054080966,-1.47203800160814,195,"Fgfr3;Sptbn2;Cntfr;Ccdc106;Slc25a23;Clstn3;Sncb;Ryr2;Itih3;Pdcd1;Klhdc8a;Gpr19;Insl5;Bard1;Arpp21;Tenm2;Macroh2a2;Grid2;Celsr2;Kcnq2;Snn;Arhgdig;Pax3;Epha5;Mast3;Btg2;Dlk2;Tfap2b;Coq8a;Stag3;Abcg4;Slc29a3;Nrip2;Slc30a3;Ybx2;Ugt2b1;Dtnb;Zbtb16;Zc2hc1c;Tgfb2;Pde6b;Edn2;Scgb1a1;Tcf7l1;Cpa2;P2rx6;Nudt11;Zfp112;Capn9;Hc;Sidt1;Fgf22;Rgs11;Nos1;Sox10;Clps;Ifi44l;Myo15a;Adra2c;Scn10a;Il5;Thnsl2;Sprr3;Msh5;Efhd1;Sphk2;Dcc;Cldn8;Cacng1;Akr1b8"
"HALLMARK_PROTEIN_SECRETION",0.00141194403073002,0.00917763619974515,0.45505986738723,0.33065987562554,1.63423527378554,94,"Stx12;Gosr2;Rab22a;Ppt1;Sod1;Arfgef1;M6pr;Mapk1;Ap1g1;Copb1;Ocrl;Atp6v1h;Vamp4;Vps4b;Stx7;Galc;Gbf1;Rab2a;Vamp3;Snap23;Rer1;Abca1;Tmed2;Dnm1l;Arfgap3;Atp7a;Arcn1;Ctsc"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING",0.00485823840733073,0.0270673282694141,0.407017918923954,0.29649384328241,1.49251779128051,103,"Prkar2a;Grb2;Eif4e;Il2rg;Actr3;Cxcr4;Pak4;Ube2d3;Ripk1;Pin1;Mapk1;Csnk2b;Tbk1;Fasl;Actr2;Ube2n;Vav3;Arpc3;Mapk8;Cab39l;Tnfrsf1a;Prkcb;Mapk9;Pten;Grk2;Cdkn1b;Rac1;Pikfyve;Ecsit;Ralb;Hras;Smad2;Lck;Fgf6;Gsk3b;Nod1;Map2k3;E2f1;Mknk2"
"HALLMARK_SPERMATOGENESIS",0.0324873096446701,0.136660443427859,0.252961123069611,-0.371852105939199,-1.34352324375156,132,"Camk4;Scg3;Clgn;H1f6;Cdkn3;Adcyap1;Ddx25;Scg5;Pcsk1n;Nefh;Slc2a5;Ncaph;Il12rb2;Cdk1;Septin4;Pomc;Ybx2;Oaz3;Dmc1;Map7;Zc2hc1c;Sycp1;Gad1;Papolb;Sirt1;Hspa1l;Il13ra2;Mlf1;Snap91;Nos1;Pacrg;Pgk2;Nf2;Tnp2;Htr5a;Rad17;Tssk2;Hspa2;Npy5r;Gapdhs;Dnajb8;Dcc;Bub1;Acrbp;Gpr182;Nek2;Parp2;Ccnb2;Ip6k1;Chfr;Gmcl1;Theg;Cnih2;Pias2"
"HALLMARK_ANDROGEN_RESPONSE",0.0334462441580969,0.136660443427859,0.321775918075361,0.262995583701054,1.29990150418486,107,"Klk1;Ell2;B2m;Slc26a2;Arid5b;Gsr;Scd1;Iqgap2;Tnfaip8;Uap1;Hmgcs1;Idi1;Elovl5;Abhd2;Ccnd3;Hsd17b14;Elk4;Pdlim5"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS",0.0350411393404768,0.136660443427859,0.321775918075361,0.279297311888131,1.37856122265938,74,"Fdps;Plscr1;Antxr2;Jag1;Cxcl16;Scd1;Ldlr;Cyp51;Srebf2;Hmgcs1;Idi1;Nfil3;S100a11;Mvd;Nsdhl;Alcam;Sqle"
